EARNINGS_VIEW_LVL1,EARNINGS_VIEW_LVL2,EARNINGS_VIEW_LVL3,CALENDAR_YEAR,TRIR,TRIR_P3_PLUS,TRI_CNT,TRI_P3_PLUS_CNT,LTIR,LTIR_EMP,LTIR_CONT,LTI_CNT,ACTUAL_HURT_A3,ACTUAL_HURT_A4,SPILLS
ALL,ALL,ALL,2019,0.208327,0.020384,510,50,0.032207,0.031668,0.032494,79,3,1,352
Upstream,Conventional / HO,Malaysia / Thailand,2019,0.103829,0.000000,8,0,0.000000,0.000000,0.000000,0,0,0,1
Upstream,UNC,Eastern,2022,0.200878,0.033480,6,1,0.066959,0.082125,0.056522,2,0,1,9
Upstream,UNC,ALL,2021,0.376690,0.040073,47,5,0.040073,0.084818,0.022371,5,0,0,164
Product Solutions,Specialty Products,FL EAME MBU,2021,0.288462,0.000000,2,0,0.144231,0.149870,0.000000,1,0,0,0
Upstream,LNG,ALL,2023,0.015259,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,1
Upstream,Conventional / HO,Europe Opt & Trading,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL NA MBU,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL SAP MBU,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Abu Dhabi,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,EAME Fuels - FUNM,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Abu Dhabi,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Abu Dhabi,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,ALL,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
ALL,ALL,ALL,2020,0.135317,0.010985,271,22,0.019474,0.019104,0.019739,39,2,1,224
Upstream,UNC,Delaware,2023,0.689125,0.000000,20,0,0.137825,0.354032,0.114514,4,0,0,22
Upstream,UNC,Eastern,2020,0.140300,0.028060,5,1,0.056120,0.092432,0.000000,2,0,0,9
Upstream,UNC,Bakken,2021,0.600367,0.200122,6,2,0.000000,0.000000,0.000000,0,0,0,9
Upstream,Conventional / HO,Netherlands / SNS,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,Mozambique,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Sakhalin,2019,0.065751,0.000000,7,0,0.009393,0.000000,0.010522,1,0,0,0
Product Solutions,Energy Products,EAME Fuels - EAME Trading,2022,0.650072,0.000000,1,0,0.650072,0.654489,0.000000,1,0,0,0
Upstream,Conventional / HO,Europe Opt & Trading,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Australia Conventional,2019,0.660010,0.031429,21,1,0.220003,0.215253,0.221963,7,0,0,1
Upstream,Conventional / HO,Australia Conventional,2022,0.621906,0.000000,13,0,0.095678,0.324381,0.000000,2,0,0,0
Upstream,LNG,EAME other,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Netherlands / SNS,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
