EARNINGS_VIEW_LVL1,EARNINGS_VIEW_LVL2,EARNINGS_VIEW_LVL3,CALENDAR_YEAR,TRIR,TRIR_P3_PLUS,TRI_CNT,TRI_P3_PLUS_CNT,LTIR,LTIR_EMP,LTIR_CONT,LTI_CNT,POTENTIAL_HURT_LVL3,POTENTIAL_HURT_LVL4,POTENTIAL_HURT_LVL5,POTENTIAL_HURT_TOTAL,ACTUAL_HURT_A3,ACTUAL_HURT_A4,ACTUAL_HURT_TOTAL,SPILLS
Upstream,Upstream Unconventional,ALL,2023,0.442853,0.045189,49,5,0.090378,0.094574,0.089387,10,8,10,0,18,1,0,1,105
Upstream,ALL,ALL,2020,0.179222,0.016417,131,12,0.028730,0.044426,0.022712,21,32,40,4,76,2,1,3,181
Upstream,ALL,ALL,2021,0.204198,0.019519,136,13,0.031531,0.044424,0.026752,21,24,29,1,54,0,0,0,170
EMPS Energy Products,Global,ALL,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,1
Upstream,Upstream LNG,NA,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Guyana,2021,0.095382,0.019076,5,1,0.019076,0.000000,0.020113,1,1,2,0,3,0,0,0,1
EMPS Specialty Products,Finished Lubes,FL NAP MBU,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Romania,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Eastern Canada,2022,0.079312,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL EAME MBU,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - Canada,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Vietnam,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,ALL,2020,0.084097,0.022936,11,3,0.022936,0.065614,0.009968,3,5,4,4,13,1,1,2,2
Out of scope,Out of scope,Out of scope,2021,0.106207,0.003372,63,2,0.008429,0.007187,0.009527,5,23,10,3,36,0,1,1,3
Upstream,Upstream Unconventional,Eastern,2021,0.108964,0.000000,3,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,20
EMPS Specialty Products,Finished Lubes,FL NA MBU,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - US North,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL SAP MBU,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Brazil,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,AP other,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,EAME other,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Angola,2022,0.247252,0.022477,11,1,0.134864,0.504497,0.077836,6,0,2,0,2,0,0,0,0
ALL,ALL,ALL,2019,0.208327,0.020384,510,50,0.032207,0.031668,0.032494,79,248,203,125,576,3,1,4,352
Upstream,Upstream Unconventional,ALL,2020,0.315209,0.035684,53,6,0.053526,0.085542,0.041192,9,8,18,0,26,0,0,0,161
Upstream,Upstream Conventional/HO,Australia Conventional,2021,0.843810,0.052738,16,1,0.421905,0.610502,0.322331,8,2,2,0,4,0,0,0,0
Upstream,Upstream Deepwater,Romania,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Vietnam,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,EAME other,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - US South,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,1,1,2,0,0,0,0
EMPS Other,Out of scope,Out of scope,2022,0.146600,0.011498,51,4,0.020122,0.025685,0.015612,7,30,32,2,64,1,1,2,31
Upstream,Upstream Unconventional,Delaware,2022,0.571473,0.030078,19,1,0.090233,0.282598,0.067320,3,1,2,0,3,1,0,1,59
Upstream,Upstream Conventional/HO,Malaysia / Thailand,2022,0.065417,0.000000,5,0,0.000000,0.000000,0.000000,0,1,1,0,2,0,0,0,1
